year,temperature
2257,3.65E+00
2258,3.65E+00
2259,3.65E+00
2260,3.65E+00
2261,3.65E+00
2262,3.64E+00
2263,3.64E+00
2264,3.64E+00
2265,3.64E+00
2266,3.65E+00
2267,3.66E+00
2268,3.66E+00
2269,3.66E+00
2270,3.66E+00
2271,3.66E+00
2272,3.66E+00
2273,3.66E+00
2274,3.65E+00
2275,3.66E+00
2276,3.66E+00
2277,3.66E+00
2278,3.67E+00
2279,3.67E+00
2280,3.67E+00
2281,3.67E+00
2282,3.66E+00
2283,3.66E+00
2284,3.66E+00
2285,3.66E+00
2286,3.67E+00
2287,3.67E+00
2288,3.68E+00
2289,3.68E+00
2290,3.68E+00
2291,3.68E+00
2292,3.68E+00
2293,3.67E+00
2294,3.67E+00
2295,3.67E+00
2296,3.68E+00
2297,3.68E+00
2298,3.69E+00
2299,3.69E+00
2300,3.69E+00
2301,3.69E+00
2302,3.70E+00
2303,3.70E+00
2304,3.70E+00
2305,3.70E+00
2306,3.70E+00
2307,3.70E+00
2308,3.70E+00
2309,3.70E+00
2310,3.71E+00
2311,3.71E+00
2312,3.71E+00
2313,3.71E+00
2314,3.71E+00
2315,3.71E+00
2316,3.71E+00
2317,3.71E+00
2318,3.71E+00
2319,3.71E+00
2320,3.72E+00
2321,3.72E+00
2322,3.72E+00
2323,3.72E+00
2324,3.72E+00
2325,3.72E+00
2326,3.72E+00
2327,3.72E+00
2328,3.72E+00
2329,3.72E+00
2330,3.73E+00
2331,3.73E+00
2332,3.73E+00
2333,3.73E+00
2334,3.73E+00
2335,3.73E+00
2336,3.73E+00
2337,3.73E+00
2338,3.73E+00
2339,3.73E+00
2340,3.74E+00
2341,3.74E+00
2342,3.74E+00
2343,3.74E+00
2344,3.74E+00
2345,3.74E+00
2346,3.74E+00
2347,3.74E+00
2348,3.74E+00
2349,3.74E+00
2350,3.74E+00
2351,3.75E+00
2352,3.75E+00
2353,3.75E+00
2354,3.75E+00
2355,3.75E+00
2356,3.75E+00
2357,3.75E+00
2358,3.75E+00
2359,3.75E+00
2360,3.75E+00
2361,3.75E+00
2362,3.76E+00
2363,3.76E+00
2364,3.76E+00
2365,3.76E+00
2366,3.76E+00
2367,3.76E+00
2368,3.76E+00
2369,3.76E+00
2370,3.76E+00
2371,3.76E+00
2372,3.76E+00
2373,3.76E+00
2374,3.77E+00
2375,3.77E+00
2376,3.77E+00
2377,3.77E+00
2378,3.77E+00
2379,3.77E+00
2380,3.77E+00
2381,3.77E+00
2382,3.77E+00
2383,3.77E+00
2384,3.77E+00
2385,3.77E+00
2386,3.77E+00
2387,3.78E+00
2388,3.78E+00
2389,3.78E+00
2390,3.78E+00
2391,3.78E+00
2392,3.78E+00
2393,3.78E+00
2394,3.78E+00
2395,3.78E+00
2396,3.78E+00
2397,3.78E+00
2398,3.78E+00
2399,3.78E+00
2400,3.78E+00
2401,3.79E+00
2402,3.79E+00
2403,3.79E+00
2404,3.79E+00
2405,3.79E+00
2406,3.79E+00
2407,3.79E+00
2408,3.79E+00
2409,3.79E+00
2410,3.79E+00
2411,3.79E+00
2412,3.79E+00
2413,3.79E+00
2414,3.79E+00
2415,3.79E+00
2416,3.80E+00
2417,3.80E+00
2418,3.80E+00
2419,3.80E+00
2420,3.80E+00
2421,3.80E+00
2422,3.80E+00
2423,3.80E+00
2424,3.80E+00
2425,3.80E+00
2426,3.80E+00
2427,3.80E+00
2428,3.80E+00
2429,3.80E+00
2430,3.80E+00
2431,3.80E+00
2432,3.80E+00
2433,3.81E+00
2434,3.81E+00
2435,3.81E+00
2436,3.81E+00
2437,3.81E+00
2438,3.81E+00
2439,3.81E+00
2440,3.81E+00
2441,3.81E+00
2442,3.81E+00
2443,3.81E+00
2444,3.81E+00
2445,3.81E+00
2446,3.81E+00
2447,3.81E+00
2448,3.81E+00
2449,3.81E+00
2450,3.81E+00
2451,3.82E+00
2452,3.82E+00
2453,3.82E+00
2454,3.82E+00
2455,3.82E+00
2456,3.82E+00
2457,3.82E+00
2458,3.82E+00
2459,3.82E+00
2460,3.82E+00
2461,3.82E+00
2462,3.82E+00
2463,3.82E+00
2464,3.82E+00
2465,3.82E+00
2466,3.82E+00
2467,3.82E+00
2468,3.82E+00
2469,3.82E+00
2470,3.82E+00
2471,3.83E+00
2472,3.83E+00
2473,3.83E+00
2474,3.83E+00
2475,3.83E+00
2476,3.83E+00
2477,3.83E+00
2478,3.83E+00
2479,3.83E+00
2480,3.83E+00
2481,3.83E+00
2482,3.83E+00
2483,3.83E+00
2484,3.83E+00
2485,3.83E+00
2486,3.83E+00
2487,3.83E+00
2488,3.83E+00
2489,3.83E+00
2490,3.83E+00
2491,3.83E+00
2492,3.83E+00
2493,3.83E+00
2494,3.84E+00
2495,3.84E+00
2496,3.84E+00
2497,3.84E+00
2498,3.84E+00
2499,3.84E+00
2500,3.84E+00
