Year,fossil emissions excluding carbonation,land-use change emissions
1915,3.140276533,4.571148289
1916,3.391973242,4.522655625
1917,3.54813832,4.545372928
1918,3.499686323,4.548492284
1919,3.033839374,4.48127003
1920,3.537837259,4.60352004
1921,3.106184128,4.838950681
1922,3.254462643,4.8025663
1923,3.690697713,4.90774458
1924,3.702777064,4.921300043
1925,3.740633513,4.918450376
1926,3.677407432,4.930296546
1927,4.012947385,4.96585759
1928,3.99631173,4.939994403
1929,4.288211409,4.894104818
1930,3.958095957,5.020262906
1931,3.539320339,5.184843493
1932,3.192591529,5.233404628
1933,3.362683413,5.297361974
1934,3.656187221,5.337784129
1935,3.83574255,5.261155581
1936,4.207930753,5.300576768
1937,4.496715384,5.368282816
1938,4.229619213,5.41809191
1939,4.470134676,5.357164051
1940,4.884663525,5.458337149
1941,4.999092726,5.738302628
1942,4.982524053,5.769243634
1943,5.0752732,5.720823333
1944,5.162486555,5.698397272
1945,4.28931269,5.692301997
1946,4.608546995,5.647548866
1947,5.165205488,5.636327215
1948,5.447884758,5.550295121
1949,5.204035324,5.476195631
1950,5.93024384,6.207059006
1951,6.381428815,6.559803827
1952,6.467460418,6.47808875
1953,6.650885226,6.58908799
1954,6.789529059,6.980463298
1955,7.443895798,7.123221843
1956,7.926012519,7.21949915
1957,8.185644782,7.32356449
1958,8.417187818,7.191306199
1959,8.854689147,7.743683997
1960,9.387010408,6.706009482
1961,9.415042136,6.820530889
1962,9.747287164,6.330695867
1963,10.26677221,6.161284516
1964,10.8244661,5.85882182
1965,11.31060044,5.625106509
1966,11.86264632,5.222834849
1967,12.23736928,5.400860036
1968,12.90528307,5.332404113
1969,13.76178529,5.835971824
1970,14.89912444,5.694101662
1971,15.50385472,5.118089855
1972,16.22459665,5.390560504
1973,17.0850929,5.244072227
1974,17.01107168,5.138399563
1975,17.05275263,5.059332083
1976,17.98911207,5.084169688
1977,18.49863422,5.513764272
1978,19.06929054,5.413057574
1979,19.60902029,4.686752399
1980,19.48852441,4.967530444
1981,19.02290478,4.829940383
1982,18.87109791,4.543702712
1983,18.99191043,4.78495696
1984,19.64780142,5.639083249
1985,20.31190163,5.290960023
1986,20.61496319,5.527176518
1987,21.2500746,5.339803323
1988,22.08513001,5.170985347
1989,22.38663748,4.953336612
1990,22.7289883,4.976597149
1991,23.18610144,4.9699774
1992,22.52817203,5.258011997
1993,22.75578699,4.973857274
1994,22.9929469,5.889374707
1995,23.53208301,5.432409851
1996,24.25816745,6.012532849
1997,24.40190571,7.406573802
1998,24.30377731,6.144461581
1999,24.85372768,6.002911542
2000,25.5105528,5.297208764
2001,25.70629345,4.765247984
2002,26.27686873,5.12811946
2003,27.66948979,6.075675834
2004,28.63250593,5.403984008
2005,29.6143941,4.890983649
2006,30.6283961,5.332151801
2007,31.53464403,4.594579523
2008,32.07419856,4.880299947
2009,31.54192194,5.27398821
2010,33.35590344,5.487917042
2011,34.50453812,5.278271169
2012,35.00002034,5.651887051
2013,35.30165585,5.116155254
2014,35.45009475,5.396193217
2015,35.40489697,5.531587681
2016,35.41665608,4.406252662
2017,35.98989788,4.231018491
2018,36.73042656,3.84471677
2019,37.10427786,3.786743295
2020,35.12652612,3.43899561
2021,36.99173628,3.552783713
2022,37.29383639,3.541038349
2023,37.79156871,3.624912448
2024,38.09390126,4.0304
