year,PRIMAP-HistTP,CEDS,CEDS_deflator,reconstructed
1960,177.09591,,0.887602853,199.5215646
1961,179.02877,,0.887067629,201.8208807
1962,182.25263,,0.886532404,205.5792086
1963,187.01569,,0.88599718,211.0793288
1964,191.12529,,0.885461955,215.8481106
1965,196.50101,,0.884926731,222.0534234
1966,203.95669,,0.884391506,230.6181014
1967,206.91575,,0.883856281,234.1056508
1968,210.6347,,0.883321057,238.4576914
1969,217.32105,,0.882785832,246.1764134
1970,223.28731,253.0883039,0.882250608,253.0883039
1971,223.95217,253.593347,0.883115321,253.593347
1972,228.63539,258.6732751,0.883877122,258.6732751
1973,234.31406,266.601884,0.878891238,266.601884
1974,235.48729,266.7957419,0.882650106,266.7957419
1975,239.26741,267.8637754,0.893242879,267.8637754
1976,242.78875,272.5560894,0.890784537,272.5560894
1977,246.04203,276.0292318,0.891362224,276.0292318
1978,247.48397,278.3952278,0.88896628,278.3952278
1979,253.67387,283.1356663,0.895944595,283.1356663
1980,252.6416,281.4098164,0.897771098,281.4098164
1981,247.14983,275.664528,0.896560148,275.664528
1982,250.35191,274.8922195,0.910727523,274.8922195
1983,250.88538,274.6415556,0.913501161,274.6415556
1984,254.52689,278.1913062,0.914934739,278.1913062
1985,258.36654,279.4220075,0.924646352,279.4220075
1986,261.86867,284.2242069,0.921345415,284.2242069
1987,264.68311,285.8567993,0.925929034,285.8567993
1988,269.10548,291.3261156,0.923725906,291.3261156
1989,275.16315,295.8417654,0.930102447,295.8417654
1990,276.98159,295.5705827,0.937108109,295.5705827
1991,276.11106,294.0000811,0.939153006,294.0000811
1992,275.87482,291.2832712,0.947101489,291.2832712
1993,276.44577,291.633989,0.947920271,291.633989
1994,278.95598,293.4651705,0.950559072,293.4651705
1995,282.99649,297.4038005,0.951556401,297.4038005
1996,285.9221,303.1844639,0.943063165,303.1844639
1997,285.79535,303.4393657,0.941853241,303.4393657
1998,283.68194,301.7321384,0.940178072,301.7321384
1999,285.30591,302.159951,0.94422146,302.159951
2000,290.39764,306.7142186,0.946802014,306.7142186
2001,290.23592,308.367459,0.941201516,308.367459
2002,290.0492,307.2210192,0.944105975,307.2210192
2003,297.77567,315.8971455,0.942634887,315.8971455
2004,304.17983,324.2102833,0.938217711,324.2102833
2005,309.55573,329.6278435,0.939106742,329.6278435
2006,315.41178,334.2516066,0.943635793,334.2516066
2007,318.2812,335.5928986,0.948414586,335.5928986
2008,321.98152,339.5365521,0.948297077,339.5365521
2009,320.2513,337.6005145,0.948610225,337.6005145
2010,326.89961,343.2478675,0.95237186,343.2478675
2011,336.49206,348.6575464,0.965107635,348.6575464
2012,339.74962,354.267106,0.959021073,354.267106
2013,338.79012,354.3758197,0.956019291,354.3758197
2014,341.71587,355.9108728,0.960116411,355.9108728
2015,342.47477,356.5918948,0.960410977,356.5918948
2016,343.54662,357.4082727,0.961216195,357.4082727
2017,349.16733,360.2566093,0.969218388,360.2566093
2018,354.42432,364.5947946,0.972104718,364.5947946
2019,357.09031,365.12082,0.978005883,365.12082
2020,353.37572,360.1671826,0.981143583,360.1671826
2021,359.07418,363.0547641,0.989035858,363.0547641
2022,365.8124,366.3674297,0.998485046,366.3674297
2023,365.38351,,1,365.38351
