,run1,run2,run3
1945.4166666666667,1087.8293,1083.2195,1089.5532
1946.4166666666667,1094.2369,1086.4979,1090.6256
1947.4166666666667,1096.9395,1092.9199,1098.1002
1948.4166666666667,1101.9727,1102.0432,1103.5625
1949.4166666666667,1110.3745,1107.6808,1109.9724
1950.4166666666667,1120.2208,1111.8812,1117.0854
1951.4166666666667,1126.0494,1113.1193,1120.1576
1952.4166666666667,1131.692,1115.6548,1125.9652
1953.4166666666667,1134.917,1122.9106,1133.0371
1954.4166666666667,1135.377,1136.3912,1135.4893
1955.4166666666667,1138.4504,1144.9116,1140.5049
1956.4166666666667,1153.3489,1153.8895,1151.9402
1957.4166666666667,1165.2479,1166.8342,1166.4686
1958.4166666666667,1171.4005,1176.0145,1172.4559
1959.4166666666667,1182.506,1182.7056,1180.332
1960.4166666666667,1197.8671,1191.3185,1197.884
1961.4166666666667,1209.7095,1199.9075,1213.1808
1962.4166666666667,1223.611,1209.4954,1223.8854
1963.4166666666667,1238.5352,1225.9258,1234.6818
1964.4166666666667,1254.8019,1244.4082,1247.6957
1965.4166666666667,1264.8805,1257.3124,1256.9324
1966.4166666666667,1273.621,1273.6304,1267.882
1967.4166666666667,1285.6658,1288.404,1277.444
1968.4166666666667,1300.7408,1305.0535,1293.218
1969.4166666666667,1314.4438,1315.3302,1310.7806
1970.4166666666667,1328.1041,1329.2314,1324.042
1971.4166666666667,1343.7968,1343.3124,1336.6487
1972.4166666666667,1357.6656,1356.2373,1352.899
1973.4166666666667,1371.7095,1370.3263,1370.5507
1974.4166666666667,1385.364,1387.1292,1384.1473
1975.4166666666667,1391.2673,1402.8693,1397.2313
1976.4166666666667,1398.2008,1415.1818,1411.5646
1977.4166666666667,1413.9468,1429.6113,1426.8263
1978.4166666666667,1430.1316,1447.9827,1439.5377
1979.4166666666667,1446.9683,1465.8021,1448.7903
1980.4166666666667,1458.4607,1477.3561,1457.3186
1981.4166666666667,1464.5294,1488.0021,1472.2684
1982.4166666666667,1474.6335,1496.8584,1482.6505
1983.4166666666667,1494.131,1509.7223,1489.7961
1984.4166666666667,1504.0222,1519.8036,1498.2803
1985.4166666666667,1507.8685,1525.6903,1508.6326
1986.4166666666667,1513.5648,1531.8438,1514.6234
1987.4166666666667,1523.37,1541.6528,1522.4701
1988.4166666666667,1536.0725,1547.5112,1526.4805
1989.4166666666667,1542.6423,1551.494,1528.9011
1990.4166666666667,1548.5446,1556.183,1537.4523
1991.4166666666667,1553.9727,1565.9746,1550.9181
1992.4166666666667,1560.259,1575.5867,1564.5193
1993.4166666666667,1558.7804,1571.8041,1557.574
1994.4166666666667,1557.2002,1572.0004,1555.1016
1995.4166666666667,1562.9413,1576.4525,1565.7354
1996.4166666666667,1565.1046,1578.882,1567.3375
1997.4166666666667,1570.6362,1580.2523,1569.641
1998.4166666666667,1588.0443,1595.7141,1585.021
1999.4166666666667,1587.4447,1595.8455,1582.354
2000.4166666666667,1586.9108,1590.9576,1573.596
2001.4166666666667,1586.9902,1581.8956,1571.2603
2002.4166666666667,1585.7426,1574.6388,1566.387
2003.4166666666667,1587.7798,1575.887,1568.6274
2004.4166666666667,1589.9033,1576.2764,1570.0658
2005.4166666666667,1595.8956,1578.0857,1576.9115
2006.4166666666667,1602.5868,1585.7891,1584.0087
2007.4166666666667,1613.08,1599.0264,1596.6918
2008.4166666666667,1620.2429,1606.9214,1609.5825
2009.4166666666667,1630.7606,1617.534,1617.3662
2010.4166666666667,1638.2712,1631.411,1628.6732
2011.4166666666667,1646.257,1641.1554,1639.1154
2012.4166666666667,1659.2825,1651.0048,1649.8904
2013.4166666666667,1675.077,1657.6956,1660.2998
2014.4166666666667,1685.6206,1669.0831,1671.7273
