,model,run,ecs,tcr,tau1,tau2,tau3,q1,q2,q3
14,CNRM-ESM2-1,r3i1p1f2,4.259683106234149,2.2591371760370107,0.5726610824683179,7.502692166989661,309.7915722215267,0.11040326618873554,0.6871487308427552,0.7035962783581405
15,CanESM5,r1i1p1f1,5.377817978179283,2.8084012799873372,1.112642043811214,11.157496928038482,287.57488859948205,0.2269681450001564,0.6472595182072535,0.7569617378247712
16,CanESM5,r1i1p2f1,5.669880933261653,2.7851567710705014,0.9477155959731619,10.430952906057184,291.7704225664581,0.20782466494788882,0.5739252191356209,0.8116543751203744
17,E3SM-1-0,r1i1p1f1,5.832964708928279,2.9343399100905425,0.9732265462535513,10.995951918167759,271.3283127158434,0.20198103035222434,0.6729980535938427,0.8465932606490971
18,FGOALS-g3,r1i1p1f1,2.9029357429435416,1.7454166813739977,0.8241222494259771,4.839040906414942,232.35306818879835,0.14003272703314643,0.31420531974749766,0.3388081708302637
19,GISS-E2-1-G,r102i1p1f1,2.492737881453337,1.6836094654420473,0.7362820582104714,5.594394052936354,321.4377246823665,0.2008609379218035,0.16947898426128022,0.18186628737279253
20,GISS-E2-1-G,r1i1p1f1,2.6215754524261183,1.6801454609795394,0.9102336505368428,5.340811110923188,337.86633369489647,0.22861763748864342,0.2591360888912096,0.27969026064280406
21,GISS-E2-1-G,r1i1p3f1,2.5976113662966354,1.5895529587725967,0.8784629461366946,6.498028235521636,420.9751800109003,0.17690728208712247,0.2580958569556517,0.2670798101649201
22,GISS-E2-1-G,r1i1p5f1,2.477362307653879,1.6809277460208087,0.885128589593189,7.418121103057021,413.36165715740026,0.25417030541267743,0.19656763384465253,0.2016473383921601
23,GISS-E2-1-H,r1i1p1f1,3.0251884525725115,1.8661704788241933,0.5943874984636519,7.804180118316164,196.6816017931828,0.23793639622457033,0.340685090347975,0.3954322463905966
24,GISS-E2-1-H,r1i1p3f1,2.45332362531252,1.84285242642054,1.51706608111314,36.16604897101403,1099.168793624984,0.3382362565003754,0.2890176082870949,0.028507944399687
25,GISS-E2-2-G,r1i1p1f1,1.814365330456385,1.5908244523762534,0.8890232343534739,10.706271851326276,493.1498499259311,0.20186273144815292,0.22873142940993269,0.018994870608488836
26,HadGEM3-GC31-LL,r1i1p1f3,5.6324302018994645,2.7047285657158455,0.7558503585921772,8.58278830321756,269.1686319867262,0.14337768976254048,0.5915616372321879,0.851403131486408
27,HadGEM3-GC31-MM,r1i1p1f3,5.235502518409598,2.6335028499920123,1.0105078660419031,11.194322461875776,244.35048980292223,0.20896944526956163,0.5102546584642852,0.7305913793711172
28,MIROC-ES2L,r1i1p1f2,2.0096205728978003,1.7096398175777556,1.035866476797307,14.244636856487045,748.5222806645884,0.22412832483336717,0.21665127590914188,0.022957061287475107
29,MIROC6,r1i1p1f1,2.0289110047143795,1.6117919724595198,1.3135705270996514,36.315427955056634,752.9730351859929,0.3141967819836591,0.14650216389556853,0.031528317985391116
30,MPI-ESM1-2-HR,r1i1p1f1,3.2564500684136584,1.7909191784843537,1.9310672604540455,11.07117158772102,261.34947954211435,0.33369927708059005,0.14121811043799506,0.42563514666303476
31,MPI-ESM1-2-LR,r1i1p1f1,2.49077457700573,1.9101093929257829,2.5778931886605196,59.96181945996695,861.9688729824204,0.328969984673633,0.14951179141600365,0.015052378158152363
32,MRI-ESM2-0,r10i1p1f1,3.1529608121110306,1.7119766782879988,0.813814108387614,7.6066453529040405,246.39056472174195,0.22034911576603605,0.47421955665365434,0.635402718053704
33,MRI-ESM2-0,r13i1p1f1,2.966715979492671,1.726427084625378,0.82447768237616,8.016689148570297,223.97991792446064,0.21738473859889298,0.5457015663508177,0.5747120066661665
34,MRI-ESM2-0,r1i1p1f1,3.248617930045614,1.7221439059334833,0.8452769658225662,5.413766940350566,245.60603390833276,0.1603273776082711,0.30794931135568815,0.48441321349227295
35,MRI-ESM2-0,r1i2p1f1,3.1370819877986653,1.7389024635492123,0.7502914697696269,5.285600320565728,267.53399643711714,0.10408152219465197,0.28897876905112174,0.3499688023551846
36,MRI-ESM2-0,r4i1p1f1,3.1483097531934034,1.7320164589811335,1.127086497198592,6.4669150388132834,246.98595026915268,0.1981101092372499,0.3383311495887232,0.49042036708657405
37,MRI-ESM2-0,r7i1p1f1,3.139942172554472,1.7267100846375294,0.8802459390477739,7.93202484994449,252.67593461419622,0.2246778234868359,0.4097966411947744,0.5568877283569101
38,NorCPM1,r1i1p1f1,3.2768863635998233,1.6648566076107483,1.4757190956853166,7.0963233062705715,281.52877760458836,0.17177248709504223,0.2540086677446696,0.4567778004094026
39,SAM0-UNICON,r1i1p1f1,3.8022704179103837,2.103213993344576,0.8287717372182856,4.608568346645517,297.7185560496111,0.10591023572952006,0.40810372937304057,0.4528841118061172
