,tas,rlut,rsut,rsdt
35,5.711533915750806,5.042869083971937,-8.543777024490268,4.547473508864641e-13
36,5.83388503310556,5.364076329689283,-8.733849531593663,4.547473508864641e-13
37,5.773479245248836,5.297521669668413,-8.697343762390673,4.547473508864641e-13
38,5.800095125560347,5.319930011441386,-8.802128330947212,4.547473508864641e-13
39,5.784767945927115,5.007948299226626,-8.920363107862102,4.547473508864641e-13
40,5.977644985761515,5.7317160647066885,-9.252409639142599,4.547473508864641e-13
41,5.97870473667723,5.80612405097736,-9.087866374454379,4.547473508864641e-13
42,5.831707470371612,5.405873555764856,-8.811110178341565,4.547473508864641e-13
43,5.948541025762154,5.539782121548001,-9.145603276816416,4.547473508864641e-13
44,6.038719785054184,5.752057927201122,-9.17875058070095,4.547473508864641e-13
45,6.071252185301489,5.838285473075871,-9.124418991983646,4.547473508864641e-13
46,6.04217232162074,5.79393317081545,-8.878706381102162,4.547473508864641e-13
47,6.155559921516613,5.9018228992949275,-9.451719630590134,4.547473508864641e-13
48,6.142190788324228,5.957832895075313,-9.301924069544171,4.547473508864641e-13
49,6.198320378128699,5.876899394107966,-9.368263101592305,4.547473508864641e-13
50,6.2105570556213365,5.944459796916902,-9.322846717546454,4.547473508864641e-13
51,6.341277663737685,6.2019883437161525,-9.740046833242474,4.547473508864641e-13
52,6.2439775809305615,6.2295005057087,-9.53134526751137,4.547473508864641e-13
53,6.314044770807243,6.247553917423488,-9.504244682148098,4.547473508864641e-13
54,6.363383993294974,6.366472377676899,-9.813214683385795,4.547473508864641e-13
55,6.497507977223563,6.699895897530581,-9.906543238799316,3.979039320256561e-13
56,6.331137581968221,6.365100043393738,-9.436096743389072,4.547473508864641e-13
57,6.44757036652328,6.564245504802784,-9.962660683489545,4.547473508864641e-13
58,6.678008494696087,6.866276376957046,-10.216981229012319,4.547473508864641e-13
59,6.5479331659958575,6.7513501862462135,-10.001690916944952,4.547473508864641e-13
60,6.553596844630476,6.8396397894205165,-9.872365478172725,4.547473508864641e-13
61,6.49883796276589,6.510228129793148,-9.774904629333108,4.547473508864641e-13
62,6.5542653407843545,6.783286007548696,-10.067736644549882,4.547473508864641e-13
63,6.551018851720869,6.585872595991248,-9.760770232144736,4.547473508864641e-13
64,6.63820515110001,6.622784101027207,-10.171628469084638,4.547473508864641e-13
65,6.773256874750871,7.256251883469417,-10.504935956260638,4.547473508864641e-13
66,6.838901178505921,7.358018013880695,-10.30281974246617,4.547473508864641e-13
67,6.752670557610259,7.245925101316516,-10.284917139714892,4.547473508864641e-13
68,6.665359885965302,7.127975858220822,-10.02053979240226,4.547473508864641e-13
69,6.6411249196794415,7.082412046316193,-10.22307300472933,4.547473508864641e-13
70,6.833636123977897,7.298997441185776,-10.382938132113708,4.547473508864641e-13
71,6.805254056124113,7.409858171916625,-10.31872389698566,4.547473508864641e-13
72,6.703416533597817,7.152895339978642,-10.18908115619216,4.547473508864641e-13
73,6.882362570512726,7.413570340922661,-10.47727121624385,4.547473508864641e-13
74,6.889803555431399,7.5460048228054575,-10.582162656086808,4.547473508864641e-13
75,6.902228725971213,7.4140470029720404,-10.481537685151082,4.547473508864641e-13
76,6.940698440236702,7.413742389848778,-10.357229008803287,4.547473508864641e-13
77,6.8721610501044665,7.239037649060663,-10.438567771080244,4.547473508864641e-13
78,6.89544659089222,7.51096123289696,-10.571452759293663,4.547473508864641e-13
79,7.105079042176499,7.618467884503673,-10.800803064224354,4.547473508864641e-13
80,6.979627659359039,7.795233174872436,-10.461661188419967,4.547473508864641e-13
81,6.949660792245709,7.621774340951191,-10.506751735055971,4.547473508864641e-13
82,7.069006778180324,7.731338597499331,-10.87719573675335,4.547473508864641e-13
