year,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp534-over,ssp585
1975,0.242303921568627,0.242303921568627,0.242303921568627,0.242303921568627,0.242303921568627,0.242303921568627,0.242303921568627,0.242303921568627
1976,0.147303921568627,0.147303921568627,0.147303921568627,0.147303921568627,0.147303921568627,0.147303921568627,0.147303921568627,0.147303921568627
1977,0.457303921568627,0.457303921568627,0.457303921568627,0.457303921568627,0.457303921568627,0.457303921568627,0.457303921568627,0.457303921568627
1978,0.352303921568627,0.352303921568627,0.352303921568627,0.352303921568627,0.352303921568627,0.352303921568627,0.352303921568627,0.352303921568627
1979,0.432303921568628,0.432303921568628,0.432303921568628,0.432303921568628,0.432303921568628,0.432303921568628,0.432303921568628,0.432303921568628
1980,0.547303921568628,0.547303921568628,0.547303921568628,0.547303921568628,0.547303921568628,0.547303921568628,0.547303921568628,0.547303921568628
1981,0.597303921568627,0.597303921568627,0.597303921568627,0.597303921568627,0.597303921568627,0.597303921568627,0.597303921568627,0.597303921568627
1982,0.389803921568627,0.389803921568627,0.389803921568627,0.389803921568627,0.389803921568627,0.389803921568627,0.389803921568627,0.389803921568627
1983,0.572303921568627,0.572303921568627,0.572303921568627,0.572303921568627,0.572303921568627,0.572303921568627,0.572303921568627,0.572303921568627
1984,0.407303921568628,0.407303921568628,0.407303921568628,0.407303921568628,0.407303921568628,0.407303921568628,0.407303921568628,0.407303921568628
1985,0.397303921568627,0.397303921568627,0.397303921568627,0.397303921568627,0.397303921568627,0.397303921568627,0.397303921568627,0.397303921568627
1986,0.452303921568627,0.452303921568627,0.452303921568627,0.452303921568627,0.452303921568627,0.452303921568627,0.452303921568627,0.452303921568627
1987,0.584803921568627,0.584803921568627,0.584803921568627,0.584803921568627,0.584803921568627,0.584803921568627,0.584803921568627,0.584803921568627
1988,0.634803921568627,0.634803921568627,0.634803921568627,0.634803921568627,0.634803921568627,0.634803921568627,0.634803921568627,0.634803921568627
1989,0.522303921568627,0.522303921568627,0.522303921568627,0.522303921568627,0.522303921568627,0.522303921568627,0.522303921568627,0.522303921568627
1990,0.699803921568627,0.699803921568627,0.699803921568627,0.699803921568627,0.699803921568627,0.699803921568627,0.699803921568627,0.699803921568627
1991,0.679803921568628,0.679803921568628,0.679803921568628,0.679803921568628,0.679803921568628,0.679803921568628,0.679803921568628,0.679803921568628
1992,0.477303921568627,0.477303921568627,0.477303921568627,0.477303921568627,0.477303921568627,0.477303921568627,0.477303921568627,0.477303921568627
1993,0.527303921568628,0.527303921568628,0.527303921568628,0.527303921568628,0.527303921568628,0.527303921568628,0.527303921568628,0.527303921568628
1994,0.582303921568627,0.582303921568627,0.582303921568627,0.582303921568627,0.582303921568627,0.582303921568627,0.582303921568627,0.582303921568627
1995,0.732303921568627,0.732303921568627,0.732303921568627,0.732303921568627,0.732303921568627,0.732303921568627,0.732303921568627,0.732303921568627
1996,0.619803921568628,0.619803921568628,0.619803921568628,0.619803921568628,0.619803921568628,0.619803921568628,0.619803921568628,0.619803921568628
1997,0.762303921568627,0.762303921568627,0.762303921568627,0.762303921568627,0.762303921568627,0.762303921568627,0.762303921568627,0.762303921568627
1998,0.912303921568628,0.912303921568628,0.912303921568628,0.912303921568628,0.912303921568628,0.912303921568628,0.912303921568628,0.912303921568628
1999,0.667303921568627,0.667303921568627,0.667303921568627,0.667303921568627,0.667303921568627,0.667303921568627,0.667303921568627,0.667303921568627
2000,0.672303921568628,0.672303921568628,0.672303921568628,0.672303921568628,0.672303921568628,0.672303921568628,0.672303921568628,0.672303921568628
2001,0.817303921568628,0.817303921568628,0.817303921568628,0.817303921568628,0.817303921568628,0.817303921568628,0.817303921568628,0.817303921568628
2002,0.889803921568628,0.889803921568628,0.889803921568628,0.889803921568628,0.889803921568628,0.889803921568628,0.889803921568628,0.889803921568628
2003,0.884803921568627,0.884803921568627,0.884803921568627,0.884803921568627,0.884803921568627,0.884803921568627,0.884803921568627,0.884803921568627
2004,0.812303921568627,0.812303921568627,0.812303921568627,0.812303921568627,0.812303921568627,0.812303921568627,0.812303921568627,0.812303921568627
2005,0.954803921568628,0.954803921568628,0.954803921568628,0.954803921568628,0.954803921568628,0.954803921568628,0.954803921568628,0.954803921568628
2006,0.909803921568627,0.909803921568627,0.909803921568627,0.909803921568627,0.909803921568627,0.909803921568627,0.909803921568627,0.909803921568627
2007,0.924803921568627,0.924803921568627,0.924803921568627,0.924803921568627,0.924803921568627,0.924803921568627,0.924803921568627,0.924803921568627
2008,0.804803921568628,0.804803921568628,0.804803921568628,0.804803921568628,0.804803921568628,0.804803921568628,0.804803921568628,0.804803921568628
2009,0.934803921568627,0.934803921568627,0.934803921568627,0.934803921568627,0.934803921568627,0.934803921568627,0.934803921568627,0.934803921568627
2010,1.00730392156863,1.00730392156863,1.00730392156863,1.00730392156863,1.00730392156863,1.00730392156863,1.00730392156863,1.00730392156863
2011,0.884803921568628,0.884803921568628,0.884803921568628,0.884803921568628,0.884803921568628,0.884803921568628,0.884803921568628,0.884803921568628
2012,0.912303921568628,0.912303921568628,0.912303921568628,0.912303921568628,0.912303921568628,0.912303921568628,0.912303921568628,0.912303921568628
2013,0.939803921568628,0.939803921568628,0.939803921568628,0.939803921568628,0.939803921568628,0.939803921568628,0.939803921568628,0.939803921568628
2014,1.00980392156863,1.00980392156863,1.00980392156863,1.00980392156863,1.00980392156863,1.00980392156863,1.00980392156863,1.00980392156863
2015,1.15980392156863,1.15980392156863,1.15980392156863,1.15980392156863,1.15980392156863,1.15980392156863,1.15980392156863,1.15980392156863
2016,1.27230392156863,1.27230392156863,1.27230392156863,1.27230392156863,1.27230392156863,1.27230392156863,1.27230392156863,1.27230392156863
2017,1.18230392156863,1.18230392156863,1.18230392156863,1.18230392156863,1.18230392156863,1.18230392156863,1.18230392156863,1.18230392156863
2018,1.10980392156863,1.10980392156863,1.10980392156863,1.10980392156863,1.10980392156863,1.10980392156863,1.10980392156863,1.10980392156863
2019,1.23480392156863,1.23480392156863,1.23480392156863,1.23480392156863,1.23480392156863,1.23480392156863,1.23480392156863,1.23480392156863
2020,1.26480392156863,1.26480392156863,1.26480392156863,1.26480392156863,1.26480392156863,1.26480392156863,1.26480392156863,1.26480392156863
2021,1.10980392156863,1.10980392156863,1.10980392156863,1.10980392156863,1.10980392156863,1.10980392156863,1.10980392156863,1.10980392156863
2022,1.14980392156863,1.14980392156863,1.14980392156863,1.14980392156863,1.14980392156863,1.14980392156863,1.14980392156863,1.14980392156863
2023,1.43230392156863,1.43230392156863,1.43230392156863,1.43230392156863,1.43230392156863,1.43230392156863,1.43230392156863,1.43230392156863
2024,1.33070771918206,1.32487162767139,1.33098495077508,1.3215306755937,1.32606722801694,1.3256632514811,1.3794551089682,1.37742527309087
2025,1.35559254052913,1.34955090610143,1.35635535038224,1.34982337706421,1.35226835908965,1.35255609244565,1.41374664187908,1.41101498020493
