Year,Global mean SAOD 550nm,Global mean TOA ERF (W/m2)
2039,0.013520648,-0.217185697
2040,0.013520648,-0.217185697
2041,0.013520648,-0.217185697
2042,0.013520648,-0.217185697
2043,0.013520648,-0.217185697
2044,0.013520648,-0.217185697
2045,0.013520648,-0.217185697
2046,0.013520648,-0.217185697
2047,0.013520648,-0.217185697
2048,0.013520648,-0.217185697
2049,0.013520648,-0.217185697
2050,0.013520648,-0.217185697
2051,0.013520648,-0.217185697
2052,0.013520648,-0.217185697
2053,0.013520648,-0.217185697
2054,0.013520648,-0.217185697
2055,0.013520648,-0.217185697
2056,0.013520648,-0.217185697
2057,0.013520648,-0.217185697
2058,0.013520648,-0.217185697
2059,0.013520648,-0.217185697
2060,0.013520648,-0.217185697
2061,0.013520648,-0.217185697
2062,0.013520648,-0.217185697
2063,0.013520648,-0.217185697
2064,0.013520648,-0.217185697
2065,0.013520648,-0.217185697
2066,0.013520648,-0.217185697
2067,0.013520648,-0.217185697
2068,0.013520648,-0.217185697
2069,0.013520648,-0.217185697
2070,0.013520648,-0.217185697
2071,0.013520648,-0.217185697
2072,0.013520648,-0.217185697
2073,0.013520648,-0.217185697
2074,0.013520648,-0.217185697
2075,0.013520648,-0.217185697
2076,0.013520648,-0.217185697
2077,0.013520648,-0.217185697
2078,0.013520648,-0.217185697
2079,0.013520648,-0.217185697
2080,0.013520648,-0.217185697
2081,0.013520648,-0.217185697
2082,0.013520648,-0.217185697
2083,0.013520648,-0.217185697
2084,0.013520648,-0.217185697
2085,0.013520648,-0.217185697
2086,0.013520648,-0.217185697
2087,0.013520648,-0.217185697
2088,0.013520648,-0.217185697
2089,0.013520648,-0.217185697
2090,0.013520648,-0.217185697
2091,0.013520648,-0.217185697
2092,0.013520648,-0.217185697
2093,0.013520648,-0.217185697
2094,0.013520648,-0.217185697
2095,0.013520648,-0.217185697
2096,0.013520648,-0.217185697
2097,0.013520648,-0.217185697
2098,0.013520648,-0.217185697
2099,0.013520648,-0.217185697
2100,0.013520648,-0.217185697
